KNOWN_DRIVER	SYMBOL	DRIVER_LABEL	MUTS_CS	MUTS_PAM	POOL_SIGNALS	ONCODRIVE_ROLE	GENE	SIGNAL_COUNT	SIGNALS	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES
True	TP53	perProject_driver	2394	2336	CFR	0.006999999999999999	ENSG00000141510	3	CFR	2187	2227
True	PIK3CA	perProject_driver	876	826	CFR	0.9990000000000001	ENSG00000121879	3	CFR	747	789
True	KRAS	perProject_driver	555	539	CFR	0.9995	ENSG00000133703	3	CFR	533	544
True	PTEN	perProject_driver	553	530	CFR	0.01	ENSG00000171862	3	CFR	440	452
True	BRAF	perProject_driver	519	482	CFR	0.9995	ENSG00000157764	3	CFR	472	498
True	APC	perProject_driver	458	421	FR	0.0005	ENSG00000134982	3	CFR	336	367
True	NF1	perProject_driver	433	346	FR	0.0	ENSG00000196712	3	CFR	286	354
	LPHN2	perProject_driver	259	140	F	0.7335	ENSG00000117114	3	CFR	132	210
True	CDKN2A	perProject_driver	256	243	CFR	0.0315	ENSG00000147889	3	CFR	235	246
True	PIK3R1	perProject_driver	238	170	FR	0.0215	ENSG00000145675	3	CFR	150	205
True	NRAS	perProject_driver	235	210	CFR	0.9965	ENSG00000213281	3	CFR	209	234
True	IDH1	perProject_driver	227	217	CFR	0.995	ENSG00000138413	3	CFR	217	225
True	CTNNB1	perProject_driver	209	193	FR	0.982	ENSG00000168036	3	CFR	184	199
	NCOR1	perProject_driver	189	140	F	0.008	ENSG00000141027	3	CFR	132	179
True	FBXW7	perProject_driver	171	155	CFR	0.0335	ENSG00000109670	3	CFR	143	156
True	FLT3	perProject_driver	171	116	R	0.9520000000000001	ENSG00000122025	3	CFR	111	163
True	SMAD4	perProject_driver	156	134	FR	0.016	ENSG00000141646	3	CFR	128	149
True	SF3B1	perProject_driver	148	125	F	0.9435	ENSG00000115524	3	CFR	121	144
True	DNMT3A	perProject_driver	143	123	CFR	0.1995	ENSG00000119772	3	CFR	115	134
True	CIC	perProject_driver	138	104	FR	0.079	ENSG00000079432	3	CFR	99	129
True	FGFR2	perProject_driver	130	97	F	0.9965	ENSG00000066468	3	CFR	91	120
True	RUNX1	perProject_driver	117	69	FR	0.0015	ENSG00000159216	3	CFR	63	103
True	NFE2L2	perProject_driver	111	97	FR	0.985	ENSG00000116044	3	CFR	93	107
	CASP8	perProject_driver	99	80	FR	0.011000000000000001	ENSG00000064012	3	CFR	79	97
True	PPP2R1A	perProject_driver	72	54	F	0.895	ENSG00000105568	3	CFR	54	70
	SPOP	perProject_driver	67	57	CF	0.6705	ENSG00000121067	3	CFR	55	64
True	AKT1	perProject_driver	65	52	CF	0.9945	ENSG00000142208	3	CFR	52	65
True	HRAS	perProject_driver	56	49	CFR	0.922	ENSG00000174775	3	CFR	48	54
True	IDH2	perProject_driver	44	39	CF	0.9945	ENSG00000182054	3	CFR	39	44
	PPP6C	perProject_driver	41	34	CF	0.147	ENSG00000119414	3	CFR	33	39
	RAC1	perProject_driver	39	29	CF	0.8875	ENSG00000136238	3	CFR	28	38
True	U2AF1	perProject_driver	36	25	CF	0.9329999999999999	ENSG00000160201	3	CFR	25	35
True	MLL3	perProject_driver	525	447	FR	0.018000000000000002	ENSG00000055609	2	FR	391	451
True	MLL2	perProject_driver	422	340	FR	0.0115	ENSG00000167548	2	FR	300	362
True	ARID1A	perProject_driver	364	324	FR	0.0005	ENSG00000117713	2	FR	290	321
	STAG2	perProject_driver	302	100	FR	0.069	ENSG00000101972	2	FR	97	269
True	ATRX	perProject_driver	275	229	FR	0.0015	ENSG00000085224	2	FR	209	253
True	ATM	perProject_driver	269	233	FR	0.0	ENSG00000149311	2	F	207	237
True	PBRM1	perProject_driver	267	231	FR	0.0025	ENSG00000163939	2	FR	221	256
True	VHL	perProject_driver	258	241	FR	0.0105	ENSG00000134086	2	FR	227	238
True	RB1	perProject_driver	245	206	FR	0.0005	ENSG00000139687	2	FR	192	230
True	NOTCH1	perProject_driver	234	178	F	0.0575	ENSG00000148400	2	FR	165	214
True	CREBBP	perProject_driver	220	169	F	0.043	ENSG00000005339	2	CF	162	205
	MTOR	perProject_driver	214	155	F	0.9545	ENSG00000198793	2	FR	146	197
True	KDR	perProject_driver	209	155		0.8465	ENSG00000128052	2	FR	143	185
True	SMARCA4	perProject_driver	203	161	F	0.2845	ENSG00000127616	2	FR	154	191
	CHD4	perProject_driver	200	151	FR	0.9665	ENSG00000111642	2	F	141	186
True	ARID2	perProject_driver	197	175	FR	0.0185	ENSG00000189079	2	F	155	176
True	NSD1	perProject_driver	195	135	F	0.0015	ENSG00000165671	2	FR	125	178
True	SETD2	perProject_driver	195	177	FR	0.0	ENSG00000181555	2	FR	165	181
True	ALK	perProject_driver	188	127		0.966	ENSG00000171094	2	CF	125	174
True	MED12	perProject_driver	183	144	F	0.9265	ENSG00000184634	2	CF	138	170
	MGA	perProject_driver	180	131	F	0.032	ENSG00000174197	2	FR	121	162
	MAP3K1	perProject_driver	178	162	FR	0.01	ENSG00000095015	2	FR	123	136
True	GATA3	perProject_driver	176	149	FR	0.012	ENSG00000107485	2	FR	145	166
True	CDH1	perProject_driver	150	134	FR	0.0035	ENSG00000039068	2	FR	129	145
True	GNAS	perProject_driver	148	118	F	0.9755	ENSG00000087460	2	CF	113	139
	ERBB3	perProject_driver	137	106		0.995	ENSG00000065361	2	CF	102	129
True	FAM123B	perProject_driver	129	111	F	0.05	ENSG00000184675	2	FR	108	126
True	KDM6A	perProject_driver	125	111	FR	0.0095	ENSG00000147050	2	FR	105	119
True	BAP1	perProject_driver	121	90	FR	0.0015	ENSG00000163930	2	FR	85	116
	ARID5B	perProject_driver	119	84		0.08199999999999999	ENSG00000150347	2	FR	79	109
True	TET2	perProject_driver	118	96		0.0075	ENSG00000168769	2	FR	77	99
	KEAP1	perProject_driver	117	102	FR	0.9385	ENSG00000079999	2	FR	98	110
	CTCF	perProject_driver	116	96	FR	0.006999999999999999	ENSG00000102974	2	FR	90	108
True	KDM5C	perProject_driver	108	86	FR	0.13699999999999998	ENSG00000126012	2	FR	85	104
True	KIT	perProject_driver	101	72		0.9790000000000001	ENSG00000157404	2	CR	68	96
	TBX3	perProject_driver	94	66	F	0.057999999999999996	ENSG00000135111	2	FR	66	92
True	STK11	perProject_driver	92	72	FR	0.0025	ENSG00000118046	2	FR	68	84
True	PRKAR1A	perProject_driver	91	27		0.0595	ENSG00000108946	2	FR	25	86
	RGS3	perProject_driver	88	67		0.6595	ENSG00000138835	2	CF	66	87
	ZNF814	perProject_driver	88	51	C	0.904	ENSG00000204514	2	CR	50	85
True	PTPN11	perProject_driver	87	70	F	0.958	ENSG00000179295	2	FR	68	83
	TGFBR2	perProject_driver	86	72	F	0.0345	ENSG00000163513	2	CF	70	84
True	WT1	perProject_driver	85	57	FR	0.062	ENSG00000184937	2	FR	55	81
	RHOA	perProject_driver	84	38	FR	0.7335	ENSG00000067560	2	F	35	80
	EPHA2	perProject_driver	82	65		0.08900000000000001	ENSG00000142627	2	FR	60	75
	RBM10	perProject_driver	82	55	F	0.087	ENSG00000182872	2	FR	54	78
	RASA1	perProject_driver	80	65	FR	0.0085	ENSG00000145715	2	FR	62	77
True	MAP2K4	perProject_driver	78	72	FR	0.0225	ENSG00000065559	2	FR	72	77
True	FGFR1	perProject_driver	75	42			ENSG00000077782	2	CF	39	71
True	TCF7L2	perProject_driver	73	49	F	0.013000000000000001	ENSG00000148737	2	FR	49	72
True	FUBP1	perProject_driver	73	55	FR	0.0195	ENSG00000162613	2	FR	53	70
True	NPM1	perProject_driver	68	64	FR	0.040999999999999995	ENSG00000181163	2	FR	63	67
True	XPO1	perProject_driver	67	49			ENSG00000082898	2	CF	46	63
True	RPL22	perProject_driver	67	45	FR	0.08900000000000001	ENSG00000116251	2	FR	43	63
	ZFP36L1	perProject_driver	64	37		0.0455	ENSG00000185650	2	FR	37	64
	ACVR2A	perProject_driver	63	50	FR	0.012	ENSG00000121989	2	F	48	60
	FOXA1	perProject_driver	62	46		0.1645	ENSG00000129514	2	FR	45	61
	ELF3	perProject_driver	62	37	FR	0.039	ENSG00000163435	2	FR	32	54
True	MYB	perProject_driver	61	45	F	0.2695	ENSG00000118513	2	FR	43	56
	ZNF750	perProject_driver	60	43		0.0945	ENSG00000141579	2	FR	42	58
	RPSAP58	perProject_driver	59	41	CF	0.995	ENSG00000205246	2	CF	40	58
	HLA-A	perProject_driver	59	40	F	0.003	ENSG00000206503	2	CF	39	56
	SMAD2	perProject_driver	58	46	FR	0.0005	ENSG00000175387	2	FR	45	56
	PABPC1	perProject_driver	56	40		0.359	ENSG00000070756	2	FR	40	55
	TBL1XR1	perProject_driver	54	41	FR	0.127	ENSG00000177565	2	R	38	51
True	SMO	perProject_driver	53	46			ENSG00000128602	2	CF	45	52
	CNOT4	perProject_driver	51	33	FR	0.5875	ENSG00000080802	2	F	32	49
	MAP2K1	perProject_driver	51	39	CF	0.972	ENSG00000169032	2	CF	39	51
	EPC1	perProject_driver	50	35			ENSG00000120616	2	CF	35	50
	MAX	perProject_driver	50	21	F	0.7240000000000001	ENSG00000125952	2	CF	21	50
	TXNIP	perProject_driver	49	26		0.8809999999999999	ENSG00000117289	2	FR	24	46
	SOX9	perProject_driver	49	38	F	0.0655	ENSG00000125398	2	FR	37	47
True	PHF6	perProject_driver	48	41	FR	0.0205	ENSG00000156531	2	F	40	47
	SCAI	perProject_driver	48	36		0.8805	ENSG00000173611	2	CF	36	48
	RPL5	perProject_driver	45	32	FR	0.059000000000000004	ENSG00000122406	2	F	32	45
	FRG1	perProject_driver	44	26		0.046	ENSG00000109536	2	CF	26	44
	ACTG1	perProject_driver	43	37	FR	0.927	ENSG00000184009	2	F	37	43
True	CBFB	perProject_driver	40	34	F	0.0055	ENSG00000067955	2	FR	33	39
	CDKN1A	perProject_driver	40	29	FR	0.043	ENSG00000124762	2	FR	28	38
True	CCND1	perProject_driver	39	23		0.9595	ENSG00000110092	2	FR	21	34
	CLCC1	perProject_driver	37	25		0.7855	ENSG00000121940	2	CR	24	35
	B2M	perProject_driver	37	26	FR	0.032	ENSG00000166710	2	R	25	36
	CDKN1B	perProject_driver	35	33	FR	0.0515	ENSG00000111276	2	FR	32	34
	CSNK2A1	perProject_driver	34	27		0.1625	ENSG00000101266	2	FR	26	31
True	MYD88	perProject_driver	34	26			ENSG00000172936	2	CF	26	34
True	CEBPA	perProject_driver	25	15	FR	0.1245	ENSG00000245848	2	FR	13	19
	EIF1AX	perProject_driver	21	20	FR	0.19399999999999998	ENSG00000173674	2	CR	19	20
	ANK3	perProject_driver	538	392	F	0.8809999999999999	ENSG00000151150	1	F	268	348
	MACF1	perProject_driver	463	308	F	0.976	ENSG00000127603	1	F	265	390
	AHNAK	perProject_driver	394	289	F	0.956	ENSG00000124942	1	F	247	328
	LAMA2	perProject_driver	369	268		0.09	ENSG00000196569	1	F	244	322
	ROBO2	perProject_driver	362	165		0.769	ENSG00000185008	1	F	156	235
	FAT2	perProject_driver	326	233		0.7365	ENSG00000086570	1	F	218	295
	KALRN	perProject_driver	317	205	F	0.884	ENSG00000160145	1	F	184	258
	SVEP1	perProject_driver	308	229	F	0.7	ENSG00000165124	1	F	198	255
True	FIP1L1	perProject_driver	304	82		0.932	ENSG00000145216	1	F	77	269
	ZFHX3	perProject_driver	301	209		0.01	ENSG00000140836	1	F	193	269
	ASPM	perProject_driver	257	202	F	0.95	ENSG00000066279	1	F	186	233
True	AKAP9	perProject_driver	251	202	F	0.4245	ENSG00000127914	1	F	189	232
	PLCB1	perProject_driver	229	157		0.983	ENSG00000182621	1	F	143	197
True	MECOM	perProject_driver	227	163	F	0.968	ENSG00000085276	1	F	142	189
	PCSK5	perProject_driver	225	154			ENSG00000099139	1	F	134	182
	F8	perProject_driver	221	164		0.7959999999999999	ENSG00000185010	1	F	151	193
	PCDH18	perProject_driver	220	170	F	0.8215	ENSG00000189184	1	F	153	186
True	MLL	perProject_driver	215	164	F	0.0005	ENSG00000118058	1	F	155	197
	MAGI2	perProject_driver	215	120			ENSG00000187391	1	F	118	187
True	BRCA2	perProject_driver	213	163		0.0415	ENSG00000139618	1	F	151	196
	CHD6	perProject_driver	204	146		0.973	ENSG00000124177	1	F	140	192
	TRIO	perProject_driver	203	133	F	0.963	ENSG00000038382	1	F	128	185
	BCLAF1	perProject_driver	196	163	F	0.9105	ENSG00000029363	1	F	143	170
	HDAC9	perProject_driver	195	118	F	0.9045	ENSG00000048052	1	F	104	164
True	NOTCH2	perProject_driver	191	143		0.672	ENSG00000134250	1	F	130	171
	FN1	perProject_driver	188	141	F	0.10400000000000001	ENSG00000115414	1	F	134	172
	WNK1	perProject_driver	183	124			ENSG00000060237	1	F	115	167
	ATR	perProject_driver	181	149	F	0.386	ENSG00000175054	1	F	136	166
	ACACA	perProject_driver	178	112		0.7815	ENSG00000132142	1	F	107	167
True	MYH9	perProject_driver	172	107		0.693	ENSG00000100345	1	F	99	158
	SPTAN1	perProject_driver	166	103	F	0.053	ENSG00000197694	1	F	101	157
True	EP300	perProject_driver	163	140	F	0.0085	ENSG00000100393	1	F	134	152
	CUX1	perProject_driver	160	102		0.4385	ENSG00000257923	1	F	96	147
	BAZ2B	perProject_driver	157	124	F	0.909	ENSG00000123636	1	F	117	145
	ARAP3	perProject_driver	155	61		0.0195	ENSG00000120318	1	F	58	149
	NCOR2	perProject_driver	154	108		0.9035	ENSG00000196498	1	F	102	143
	ADCY1	perProject_driver	152	107		0.872	ENSG00000164742	1	F	101	136
	ARID1B	perProject_driver	151	112	F	0.02	ENSG00000049618	1	F	106	142
	CAD	perProject_driver	151	104	F	0.8805	ENSG00000084774	1	F	103	146
	ARFGEF1	perProject_driver	146	85			ENSG00000066777	1	F	80	132
	PRPF8	perProject_driver	145	91	F	0.713	ENSG00000174231	1	F	88	135
True	BCOR	perProject_driver	145	108	F	0.0225	ENSG00000183337	1	F	105	136
True	COL1A1	perProject_driver	144	109	F	0.977	ENSG00000108821	1	F	103	131
	PLXNA1	perProject_driver	144	86		0.835	ENSG00000114554	1	C	82	132
	CHD8	perProject_driver	142	108		0.048	ENSG00000100888	1	F	103	131
True	FBXO11	perProject_driver	141	50			ENSG00000138081	1	F	50	131
	BPTF	perProject_driver	141	112	F	0.937	ENSG00000171634	1	F	108	134
True	ERBB2	perProject_driver	139	95			ENSG00000141736	1	C	89	127
True	PTCH1	perProject_driver	138	101			ENSG00000185920	1	F	97	134
	PLXNB2	perProject_driver	137	85		0.7205	ENSG00000196576	1	F	81	128
	PTPRF	perProject_driver	135	98		0.945	ENSG00000142949	1	F	89	120
	ZNF292	perProject_driver	135	108		0.205	ENSG00000188994	1	F	107	132
	ARHGAP35	perProject_driver	134	122	F	0.0005	ENSG00000160007	1	F	111	122
	HCFC1	perProject_driver	134	85		0.8370000000000001	ENSG00000172534	1	F	83	127
True	NUP98	perProject_driver	133	80	F	0.7165	ENSG00000110713	1	F	77	127
True	C15orf55	perProject_driver	133	78		0.698	ENSG00000184507	1	F	74	120
	BRWD1	perProject_driver	133	102	F	0.9259999999999999	ENSG00000185658	1	F	93	121
True	KAT6B	perProject_driver	132	93		0.8325	ENSG00000156650	1	F	91	126
True	BCL11A	perProject_driver	131	81		0.9390000000000001	ENSG00000119866	1	C	76	124
True	BRCA1	perProject_driver	128	102	F	0.0045	ENSG00000012048	1	F	95	119
	MSR1	perProject_driver	128	73	F	0.1325	ENSG00000038945	1	F	70	110
	EPHB2	perProject_driver	128	81		0.8490000000000001	ENSG00000133216	1	F	75	113
	CHD9	perProject_driver	127	105	F	0.7155	ENSG00000177200	1	F	102	122
	INPPL1	perProject_driver	126	73		0.09300000000000001	ENSG00000165458	1	F	71	116
	MYH10	perProject_driver	125	95	F	0.7425	ENSG00000133026	1	F	92	115
	TAOK2	perProject_driver	124	74	F	0.8385	ENSG00000149930	1	F	69	112
	ARID4B	perProject_driver	123	72		0.17300000000000001	ENSG00000054267	1	F	67	115
	MYH14	perProject_driver	123	86		0.89	ENSG00000105357	1	F	85	119
	PTPRU	perProject_driver	121	95	F	0.735	ENSG00000060656	1	F	93	114
True	USP6	perProject_driver	121	89			ENSG00000129204	1	F	84	116
	ARHGAP29	perProject_driver	120	84			ENSG00000137962	1	F	79	106
True	DICER1	perProject_driver	119	95	F	0.0705	ENSG00000100697	1	F	90	110
	CNTNAP1	perProject_driver	116	72		0.6955	ENSG00000108797	1	C	71	110
	CHD3	perProject_driver	116	81	F	0.2125	ENSG00000170004	1	F	79	110
	EIF4G3	perProject_driver	114	85		0.763	ENSG00000075151	1	F	83	110
	ZNF638	perProject_driver	114	84			ENSG00000075292	1	F	84	112
	EIF4G1	perProject_driver	114	76	F	0.8765	ENSG00000114867	1	F	70	98
	EPHA4	perProject_driver	114	71		0.696	ENSG00000116106	1	F	67	104
True	MLLT4	perProject_driver	114	70		0.05	ENSG00000130396	1	F	69	111
True	CDK12	perProject_driver	113	97	F	0.08900000000000001	ENSG00000167258	1	F	90	105
	TRERF1	perProject_driver	112	70		0.9335	ENSG00000124496	1	F	62	97
	PIK3C2B	perProject_driver	112	82			ENSG00000133056	1	C	80	105
	STAG1	perProject_driver	111	86	F	0.7509999999999999	ENSG00000118007	1	F	83	104
	SRGAP1	perProject_driver	111	74		0.9505	ENSG00000196935	1	F	71	105
	DDX3X	perProject_driver	111	100	F	0.1495	ENSG00000215301	1	F	93	101
	TP53BP1	perProject_driver	110	86	F	0.11900000000000001	ENSG00000067369	1	F	85	108
	AXIN1	perProject_driver	110	55		0.172	ENSG00000103126	1	F	52	99
True	ASXL1	perProject_driver	110	79		0.1055	ENSG00000171456	1	F	75	104
True	BLM	perProject_driver	109	92	F	0.3155	ENSG00000197299	1	F	81	96
	AHCTF1	perProject_driver	108	85		0.565	ENSG00000153207	1	F	84	107
	IRF7	perProject_driver	108	18		0.807	ENSG00000185507	1	F	18	103
True	WHSC1	perProject_driver	106	65		0.6785	ENSG00000109685	1	F	62	101
True	ABL2	perProject_driver	106	69		0.8109999999999999	ENSG00000143322	1	F	67	101
	EPHA1	perProject_driver	106	70		0.9545	ENSG00000146904	1	F	67	101
	TCF4	perProject_driver	106	66	F	0.7465	ENSG00000196628	1	F	62	96
	XRN1	perProject_driver	103	79		0.38799999999999996	ENSG00000114127	1	F	78	101
	MED23	perProject_driver	100	59		0.0195	ENSG00000112282	1	F	59	99
	MAP4K1	perProject_driver	99	53			ENSG00000104814	1	C	52	93
	MAP3K4	perProject_driver	97	77	F	0.7045	ENSG00000085511	1	F	74	93
	STARD13	perProject_driver	97	62		0.8725	ENSG00000133121	1	F	60	92
	NTRK2	perProject_driver	96	59		0.708	ENSG00000148053	1	F	59	94
	POM121	perProject_driver	94	54		0.9129999999999999	ENSG00000196313	1	F	52	90
True	WHSC1L1	perProject_driver	93	71		0.218	ENSG00000147548	1	F	67	89
	AQR	perProject_driver	92	70	F	0.7445	ENSG00000021776	1	F	69	87
True	CLTC	perProject_driver	89	53	F	0.8705	ENSG00000141367	1	F	52	81
	PABPC3	perProject_driver	89	66		0.33799999999999997	ENSG00000151846	1	F	64	85
True	FCRL4	perProject_driver	88	66			ENSG00000163518	1	C	65	85
	PGR	perProject_driver	87	58		0.9179999999999999	ENSG00000082175	1	F	56	83
True	CIITA	perProject_driver	87	56		0.6355	ENSG00000179583	1	C	55	83
	MNDA	perProject_driver	86	71			ENSG00000163563	1	F	68	82
	ARHGEF2	perProject_driver	85	46		0.7575	ENSG00000116584	1	F	45	83
	FANCI	perProject_driver	84	51			ENSG00000140525	1	C	48	79
	SMC1A	perProject_driver	83	67	F	0.8855	ENSG00000072501	1	F	66	80
	IRF6	perProject_driver	83	49			ENSG00000117595	1	F	49	83
True	HNF1A	perProject_driver	81	47		0.723	ENSG00000135100	1	C	45	74
	EIF2AK3	perProject_driver	81	69	F	0.038	ENSG00000172071	1	F	65	74
	MLH3	perProject_driver	80	53		0.2095	ENSG00000119684	1	F	50	75
	PLCG1	perProject_driver	80	58		0.9805	ENSG00000124181	1	F	57	78
	ITGA9	perProject_driver	80	52		0.9665	ENSG00000144668	1	F	50	73
